,bounding_boxes
266715,"[[6830, 5105, 3930, 2911]]"
267074,"[[4490, 2230, 2018, 4803]]"
267073,"[[3033, 1505, 1362, 3244]]"
267072,"[[3789, 1882, 1704, 4053]]"
267071,"[[3320, 1648, 1493, 3553]]"
267070,"[[3097, 1537, 1392, 3313]]"
267069,"[[2921, 1450, 1313, 3126]]"
267075,"[[3011, 1495, 1354, 3220]]"
267068,"[[2885, 2415, 2974, 4754]]"
267066,"[[3210, 2687, 3310, 5290]]"
267065,"[[3864, 1385, 1673, 4244]]"
267064,"[[4389, 2902, 805, 2935]]"
267063,"[[663, 627, 7747, 4812]]"
267062,"[[683, 647, 7981, 4957]]"
267061,"[[6127, 4003, 1074, 3872]]"
267067,"[[2833, 2371, 2921, 4669]]"
267076,"[[3854, 1913, 1731, 4122]]"
267077,"[[3903, 1939, 1754, 4175]]"
267078,"[[3530, 1753, 1587, 3777]]"
267093,"[[2739, 2549, 3196, 2395]]"
267092,"[[1932, 1511, 5024, 4194]]"
267091,"[[2073, 1622, 5393, 4502]]"
267090,"[[2065, 1616, 5373, 4485]]"
267089,"[[3435, 2687, 8938, 7461]]"
267088,"[[3298, 2580, 8580, 7164]]"
267087,"[[2921, 2284, 7598, 6343]]"
267086,"[[3435, 2687, 8938, 7461]]"
267085,"[[2139, 1674, 5567, 4646]]"
267084,"[[2063, 2463, 12136, 8274]]"
267083,"[[1393, 1664, 8194, 5588]]"
267082,"[[3364, 4352, 3114, 668]]"
267081,"[[3449, 4462, 3193, 686]]"
267080,"[[3245, 4198, 3005, 645]]"
267079,"[[2479, 2341, 3791, 3418]]"
267060,"[[5065, 3308, 887, 3202]]"
267059,"[[7235, 4725, 1268, 4572]]"
267058,"[[4877, 3186, 856, 3083]]"
267057,"[[6701, 4378, 1174, 4235]]"
267037,"[[4289, 2516, 2903, 3376]]"
267036,"[[4065, 2386, 2753, 3199]]"
267035,"[[6724, 3945, 4553, 5292]]"
267034,"[[4279, 2510, 2898, 3369]]"
267033,"[[6138, 3601, 4154, 4829]]"
267032,"[[3905, 2292, 2644, 3074]]"
267031,"[[5809, 3409, 3933, 4573]]"
267030,"[[4263, 2502, 2887, 3355]]"
267029,"[[52, 1391, 10465, 6712]]"
267028,"[[80, 2082, 15659, 10043]]"
267027,"[[53, 1374, 10331, 6626]]"
267026,"[[51, 1338, 10062, 6454]]"
267025,"[[43, 1121, 8433, 5409]]"
267024,"[[78, 2064, 15515, 9952]]"
267023,"[[65, 1728, 12991, 8331]]"
267038,"[[4231, 2482, 2864, 3330]]"
267094,"[[3138, 2920, 3662, 2745]]"
267039,"[[4909, 2774, 1588, 2779]]"
267041,"[[3189, 1802, 1033, 1806]]"
267056,"[[5087, 3323, 891, 3215]]"
267055,"[[6207, 3565, 3879, 5721]]"
267054,"[[4149, 2385, 2594, 3824]]"
267053,"[[2870, 3183, 1368, 769]]"
267052,"[[3137, 3482, 1497, 840]]"
267051,"[[2745, 3868, 6468, 1569]]"
267050,"[[2639, 3718, 6217, 1509]]"
267049,"[[3984, 5614, 9386, 2276]]"
267048,"[[4883, 1811, 3862, 11816]]"
267047,"[[7131, 4029, 2309, 4038]]"
267046,"[[3959, 2238, 1282, 2242]]"
267045,"[[4591, 2593, 1485, 2599]]"
267044,"[[3952, 2234, 1280, 2238]]"
267043,"[[4451, 2515, 1440, 2520]]"
267042,"[[3538, 1999, 1146, 2004]]"
267040,"[[5527, 3123, 1789, 3130]]"
267022,"[[70, 1818, 13671, 8767]]"
267095,"[[3201, 2978, 3733, 2798]]"
267097,"[[2791, 2597, 3256, 2442]]"
267149,"[[6368, 6371, 800, 2376]]"
267148,"[[4708, 4708, 591, 1756]]"
267147,"[[1932, 1617, 5731, 6354]]"
267146,"[[1801, 1509, 5344, 5925]]"
267145,"[[1910, 1598, 5664, 6280]]"
267144,"[[4607, 3435, 1292, 1995]]"
267150,"[[6402, 6403, 804, 2390]]"
267143,"[[4581, 3414, 1284, 1984]]"
267141,"[[4730, 4948, 1257, 1583]]"
267140,"[[4721, 4940, 1256, 1581]]"
267139,"[[3688, 4073, 2924, 1436]]"
267138,"[[3947, 1610, 816, 4391]]"
267137,"[[4307, 1547, 914, 3576]]"
267136,"[[2683, 970, 2830, 5452]]"
267142,"[[4593, 4806, 1222, 1537]]"
267151,"[[1131, 316, 6467, 7474]]"
267152,"[[1175, 328, 6710, 7754]]"
267153,"[[1776, 495, 10154, 11736]]"
266263,"[[1218, 1557, 6859, 5549]]"
266264,"[[1139, 1457, 6423, 5197]]"
266265,"[[2029, 2594, 11434, 9252]]"
266266,"[[1203, 1539, 6783, 5488]]"
267164,"[[2702, 3347, 4495, 2236]]"
267163,"[[2091, 2588, 3476, 1730]]"
267162,"[[1407, 1470, 3194, 3587]]"
267161,"[[1805, 1886, 4097, 4604]]"
267160,"[[2051, 2143, 4656, 5230]]"
267159,"[[3956, 2190, 2587, 1942]]"
267158,"[[5542, 3495, 6476, 8422]]"
267157,"[[1167, 326, 6671, 7708]]"
267156,"[[1513, 422, 8649, 9996]]"
267155,"[[580, 162, 3322, 3838]]"
267154,"[[1071, 298, 6116, 7067]]"
267135,"[[2602, 940, 2747, 5290]]"
267134,"[[1999, 2227, 4363, 4867]]"
267133,"[[4198, 4588, 2443, 524]]"
267132,"[[3100, 3389, 1804, 387]]"
267112,"[[586, 1005, 7082, 4963]]"
267111,"[[596, 1021, 7195, 5044]]"
267110,"[[24, 38, 9169, 7949]]"
267109,"[[23, 36, 8845, 7668]]"
267108,"[[20, 31, 7844, 6802]]"
267107,"[[30, 47, 11667, 10115]]"
267106,"[[22, 36, 8710, 7551]]"
267105,"[[7240, 5395, 1034, 4268]]"
267104,"[[6887, 5130, 982, 4060]]"
267103,"[[4910, 4192, 2613, 5180]]"
267102,"[[6412, 6032, 2844, 2676]]"
267101,"[[4122, 3878, 1828, 1720]]"
267100,"[[3610, 3396, 1601, 1507]]"
267099,"[[3077, 6214, 4990, 1553]]"
267098,"[[4216, 3922, 4918, 3687]]"
267113,"[[637, 1093, 7690, 5389]]"
267096,"[[3053, 2842, 3563, 2672]]"
267114,"[[557, 956, 6729, 4715]]"
267116,"[[900, 1546, 10886, 7629]]"
267131,"[[4283, 4680, 2491, 534]]"
267130,"[[3965, 4335, 2308, 495]]"
267129,"[[3355, 1137, 3274, 4842]]"
267128,"[[3166, 3873, 1848, 469]]"
267127,"[[3660, 2878, 2212, 4100]]"
267126,"[[3552, 3489, 1678, 2322]]"
267125,"[[3486, 3149, 2089, 1888]]"
267124,"[[5412, 4889, 3242, 2932]]"
267123,"[[2622, 1759, 5267, 2334]]"
267122,"[[2212, 453, 4010, 5563]]"
267121,"[[3572, 3729, 4502, 3406]]"
267120,"[[660, 1132, 7970, 5587]]"
267119,"[[645, 1108, 7799, 5466]]"
267118,"[[638, 1097, 7719, 5410]]"
267117,"[[482, 826, 5821, 4080]]"
267115,"[[593, 1018, 7172, 5027]]"
267021,"[[47, 1243, 9342, 5992]]"
267020,"[[43, 1141, 8581, 5503]]"
267019,"[[4335, 2882, 2100, 5747]]"
266923,"[[1658, 2748, 11499, 6846]]"
266922,"[[1218, 2016, 8442, 5028]]"
266921,"[[1921, 3183, 13320, 7931]]"
266920,"[[1610, 2669, 11170, 6652]]"
266919,"[[1224, 2029, 8495, 5058]]"
266918,"[[1214, 2012, 8425, 5017]]"
266924,"[[3100, 2295, 3464, 3579]]"
266917,"[[1232, 2042, 8545, 5088]]"
266915,"[[1939, 3213, 13443, 8007]]"
266914,"[[3852, 4353, 9591, 7387]]"
266913,"[[2986, 2058, 3426, 3411]]"
266912,"[[2998, 2066, 3438, 3425]]"
266911,"[[2771, 1908, 3177, 3163]]"
266910,"[[3063, 2109, 3514, 3499]]"
266916,"[[1141, 1891, 7912, 4712]]"
266925,"[[3162, 2340, 3532, 3648]]"
266926,"[[3143, 2327, 3511, 3628]]"
266927,"[[3212, 2378, 3588, 3707]]"
266942,"[[1695, 2705, 4674, 3891]]"
266941,"[[2737, 4364, 7544, 6280]]"
266940,"[[3370, 2658, 8014, 7178]]"
266939,"[[5190, 4942, 3366, 3195]]"
266938,"[[2709, 3157, 3914, 1132]]"
266937,"[[2699, 3145, 3900, 1129]]"
266936,"[[2663, 3103, 3847, 1114]]"
266935,"[[2889, 3367, 4174, 1207]]"
266934,"[[3214, 5348, 4137, 404]]"
266933,"[[3802, 4423, 1674, 1301]]"
266932,"[[3315, 3857, 1459, 1134]]"
266931,"[[3761, 3516, 2905, 1776]]"
266930,"[[3596, 3362, 2778, 1697]]"
266929,"[[3662, 3425, 2829, 1729]]"
266928,"[[3602, 3368, 2783, 1700]]"
266909,"[[2831, 1950, 3245, 3232]]"
266908,"[[3254, 2242, 3731, 3716]]"
266907,"[[3963, 3092, 1945, 2427]]"
266906,"[[3611, 2819, 1773, 2212]]"
266886,"[[5286, 4092, 1891, 6361]]"
266885,"[[3507, 2716, 1254, 4221]]"
266884,"[[3497, 2176, 2707, 1824]]"
266883,"[[3504, 2182, 2714, 1827]]"
266882,"[[3480, 536, 2685, 6572]]"
